0.050000	0.000000
0.150000	0.000000
0.250000	0.000000
0.350000	0.000000
0.450000	0.000000
0.550000	0.000000
0.650000	0.000000
0.750000	0.000000
0.850000	1.115643
0.950000	5.074527
1.050000	5.951002
1.150000	4.784243
1.250000	3.780057
1.350000	3.542131
1.450000	3.203087
1.550000	2.842865
1.650000	2.907999
1.750000	2.730831
1.850000	3.042976
1.950000	3.086272
2.050000	3.060420
2.150000	3.227444
2.250000	3.115040
2.350000	3.131883
2.450000	2.965193
2.550000	2.994732
2.650000	2.838871
2.750000	2.725746
2.850000	3.053214
2.950000	2.879624
3.050000	2.920772
3.150000	2.869745
3.250000	2.982520
3.350000	2.931887
3.450000	2.925234
3.550000	2.931350
3.650000	2.780183
3.750000	2.817297
3.850000	2.864042
3.950000	2.874121
4.050000	2.876135
4.150000	2.911007
4.250000	2.787063
4.350000	2.880039
4.450000	2.893048
4.550000	2.856105
4.650000	2.841522
4.750000	2.844854
4.850000	2.796800
4.950000	2.911206
